Epoch,Generator Loss,Critic Loss,Wasserstein Distance,Gradient Penalty,D_real,D_fake,Gen_Acc,Critic_Acc
20,-0.021928331,0.019769266,-0.003360896,0.003281674,0.011702745,0.015063642,7.851777697,48.53817256
21,0.003202039,0.02452556,-0.006098153,0.003685481,-0.014303146,-0.008204993,6.569997653,48.95682824
22,0.011540258,0.154190749,-0.000291273,0.030779894,-0.0441419,-0.043850627,7.202319505,48.99579553
23,0.009820704,0.032126121,-0.005055722,0.00541408,-0.017987892,-0.01293217,7.192027145,50.2622162
24,-0.022597445,0.007137337,-0.004100106,0.000607446,0.005557725,0.009657831,5.716885614,48.81053011
25,0.012652083,0.107604653,-0.004710034,0.020578925,-0.033310924,-0.02860089,7.752617698,50.01814945
26,0.089207694,0.031546194,-0.004480243,0.00541319,-0.086595669,-0.082115427,2.229794389,49.9555068
27,0.152165204,0.014492079,-0.002319977,0.00243442,-0.145757124,-0.143437147,1.596431571,51.06019374
28,0.053316459,0.00692215,-0.003623597,0.00065971,-0.050717734,-0.047094136,2.176211071,50.25557455
29,0.133603275,0.127396435,-0.002496079,0.024980072,-0.091717079,-0.089221001,1.914689822,50.68826567
30,0.206459954,0.07616619,-0.001812488,0.01487074,-0.195426181,-0.193613693,0.640709686,48.9669476
31,0.12148542,0.004351296,-0.004068747,5.65E-05,-0.130107522,-0.126038775,0.639149704,49.75681587
32,0.135047719,0.018675473,0.0010169,0.003938475,-0.147529289,-0.148546189,0.95851783,49.0974905
33,0.242940485,0.040909439,-0.000736549,0.008034578,-0.207754329,-0.207017779,0.772677684,49.46626195
34,-0.044148818,0.013810756,-0.00424796,0.001912559,0.038010173,0.042258132,3.476803263,50.45227006
35,0.153035671,0.002962848,-0.002392426,0.000114084,-0.132879287,-0.130486861,4.533019343,49.78778678
36,0.114142723,0.118351787,-0.004162446,0.022837868,-0.142651513,-0.138489068,1.791825139,49.1134026
37,0.083216943,0.016576141,-0.004085064,0.002498216,-0.082384557,-0.078299493,0.572366655,49.23560899
38,0.183860198,0.010752514,-0.003027618,0.001544979,-0.172239482,-0.169211864,2.405031351,50.05349975
39,0.160967499,0.007495261,-0.002918437,0.000915365,-0.146806255,-0.143887818,1.214656849,49.54390476
40,0.05279411,0.023712896,-0.001775563,0.004387467,-0.08150734,-0.079731777,3.138955806,49.41367708
41,0.08769805,0.005000325,-0.001749538,0.000325079,-0.090963602,-0.089214064,0.37689978,49.17822101
42,0.057168592,0.131055474,-0.004945315,0.012611015,-0.103014082,-0.098068766,7.050318059,49.30261489
43,0.030289678,0.018032378,-0.003764505,0.001426787,-0.011061615,-0.00729711,4.987110358,49.75715894
44,0.062497102,0.007858655,-0.003523074,0.000433558,-0.068199851,-0.064676777,2.659262912,50.91153511
45,0.051453207,0.016322322,-0.002879266,0.001344306,-0.061920457,-0.059041191,1.038263095,50.82612612
46,0.073689051,0.005399582,-0.003612652,0.000178693,-0.077342771,-0.073730119,3.497129942,50.18806576
47,0.101061195,0.020881617,-0.001864627,0.001901699,-0.09983848,-0.097973853,3.724445954,49.54814779
48,0.168663651,0.011018069,-0.008133829,0.000288424,-0.170885384,-0.162751555,6.179204653,51.21443106
49,0.052050427,0.049750097,-0.002710208,0.004703989,-0.090820991,-0.088110782,1.647696908,49.62595334
50,0.044356924,0.096768789,-0.004722141,0.009204665,-0.043369055,-0.038646914,9.452057908,49.09151008
51,0.076457337,0.013215498,-0.004252851,0.000896265,-0.081218064,-0.076965213,0.265667516,49.52727424
52,0.331701726,0.015408891,-0.003043264,0.001236563,-0.352082789,-0.349039525,0.504054413,49.58443203
53,0.261825591,0.004709351,-0.002329081,0.000238027,-0.263241947,-0.260912865,0.106216571,49.8198617
54,0.344365895,0.018509593,-0.006907761,0.001160183,-0.350190133,-0.343282372,3.320341794,48.85501158
55,0.139505371,0.022097681,-0.001440763,0.002065692,-0.142243877,-0.140803114,0.007779382,49.9666202
56,0.622472107,0.008845821,-0.003830314,0.000501551,-0.62881887,-0.624988556,0.004549458,49.97002607
56,0.237218365,0.019733021,-0.004474252,0.001525877,-0.244606316,-0.240132064,0.035156767,49.8984018
57,0.137165681,0.135026038,-0.00335671,0.013166933,-0.118006706,-0.114649996,0.062695428,49.79050209
58,0.075168438,0.003511015,-0.001608051,0.000190296,-0.07669995,-0.075091898,0.272619991,49.9532372
